"","Gender","Senior","Partner","Dependents","Tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","ChurnLabel","CLTV","AvgMonthlyLongDistanceCharges","TotalRevenue","AvgMonthlyGBDownload","n_addIT_services","haversine_dist","manhattan_dist","bearing_degree"
"15","Female","No","No","Yes",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"Yes",5586,5.85,175.85,19,0,583233.283973039,783299.182461818,150.261232679846
"16","Female","No","No","Yes",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes",2966,3.96,1485.8,20,2,593956.150316851,799094.980989156,149.834287114207
"17","Female","Yes","Yes","Yes",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes",5302,48.85,1024.1,17,1,585912.708873192,793142.561538476,148.490241154943
"18","Male","Yes","No","Yes",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes",3179,11.33,1910.88,52,0,577638.013249522,782085.818361908,148.493998479752
"19","Female","No","No","Yes",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes",5571,27.21,1102.14,29,0,575215.645435153,773745.986128919,149.969476973384
"20","Female","No","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,79.35,"Yes",2483,13.13,92.48,57,0,590918.750793308,797740.723313372,149.092388927631
"21","Female","No","Yes","Yes",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes",3457,8.69,557.73,53,1,596964.389092706,805235.967914761,149.245819765512
"22","Female","No","No","Yes",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"Yes",5806,25.34,1311.43,56,1,581072.324012559,777937.232231389,150.921389011745
"23","Male","No","No","No",5,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",21.05,113.85,"Yes",2604,34.26,285.15,0,0,586844.13377679,787833.097105779,150.326854683455
"24","Female","Yes","Yes","Yes",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes",5337,19.76,2995.07,12,2,589947.502624696,792338.311532082,150.221340111885
"25","Male","No","Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes",5034,14.79,8617.57,47,3,573794.00921437,767944.693095016,151.021731392838
"26","Male","No","Yes","Yes",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes",5154,49.06,7937.2,27,2,596834.580198195,800183.664312918,150.55213715032
"27","Female","Yes","Yes","Yes",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes",2793,6.33,3102.36,14,0,600458.288638146,815534.149160338,147.597008279217
"28","Female","No","Yes","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes",5998,24.48,1309.45,30,1,597904.816409504,811051.787600375,147.922764153738
"29","Male","No","No","Yes",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,229.55,"Yes",4415,14.6,264.61,71,0,606701.045567354,825034.064884938,147.243343182963
"30","Female","Yes","No","Yes",27,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.05,2135.5,"Yes",4638,3.33,2235.41,18,1,595587.556337928,807583.837647199,148.034729701984
"31","Female","No","Yes","No",25,"No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",58.6,1502.65,"Yes",4190,0,1498.17,48,3,640763.161866628,845305.317736973,153.418219301513
"32","Male","No","No","No",1,"No","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.45,35.45,"Yes",2301,0,35.45,22,0,604953.097850229,810522.295635118,150.65046796022
"33","Male","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.35,81.25,"Yes",2570,46.84,174.93,3,0,607393.253524002,819028.241807497,149.264668134898
"34","Female","Yes","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,70.45,"Yes",3964,15.28,85.73,30,0,615526.824211711,831301.911841671,148.863438192248
"35","Female","No","No","No",8,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",71.15,563.65,"Yes",2662,48.14,948.77,18,2,611749.017846248,818791.736563937,150.825328167128
"36","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,45.65,"Yes",2600,14.12,59.77,24,0,604126.78770943,810990.591577691,150.250942281616
"37","Male","No","No","Yes",7,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",95,655.5,"Yes",2786,20.52,772.54,28,0,613007.167546668,825409.412622627,149.553913950442
"38","Female","No","Yes","Yes",20,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,1592.35,"Yes",5719,36.6,2290.92,51,1,573188.649835304,779900.206357859,147.307256547043
"39","Female","No","No","Yes",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.9,273,"Yes",4287,33.5,398.26,27,0,584111.913965122,797135.286014985,146.446038306705
"40","Male","Yes","Yes","No",58,"No","No","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",45.3,2651.2,"Yes",5444,0,2610.25,24,2,579877.710222795,790405.762138401,146.799234119216
"41","Female","No","Yes","Yes",2,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,242.8,"Yes",4690,11.51,220.38,53,2,558830.563254704,759870.743640353,147.561365823489
"42","Female","No","Yes","No",53,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.85,5000.2,"Yes",4328,40.62,7134.51,73,1,574931.220787199,781160.899081755,147.65663695613
"43","Female","Yes","No","Yes",15,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,1145.7,"Yes",5717,44.07,1806.75,19,0,579333.047396417,787475.164183723,147.523206476132
"44","Female","Yes","No","Yes",7,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",76.45,503.6,"Yes",4419,26.95,681.2,18,1,579389.632584907,788886.382874223,147.088024795982
"45","Female","No","No","No",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",29.95,29.95,"Yes",4534,0,29.95,27,1,570196.47514148,772216.788548492,148.473639574512
"46","Male","No","No","Yes",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",84.5,662.65,"Yes",2152,25.73,835.28,19,0,573586.864321801,776361.311175946,148.589651569251
"47","Female","No","No","Yes",13,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.25,1111.65,"Yes",5142,33.54,1499.42,76,2,573627.431014045,778358.655623005,147.991729547062
"48","Female","No","Yes","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.8,24.8,"Yes",4851,0,24.8,29,0,569006.863383774,771009.695892501,148.356219681542
"49","Male","No","Yes","Yes",6,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",91,531,"Yes",2283,42.08,783.48,29,2,548745.132147875,734165.578800134,151.211804781598
"50","Male","No","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",79.9,79.9,"Yes",3394,23.2,103.1,21,0,552024.383379056,744533.214557827,149.513449658707
"51","Female","No","No","Yes",19,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",106.6,1934.45,"Yes",3764,28.35,2491.38,19,3,531176.850840811,722185.661239283,147.759573644894
"52","Male","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",46,84.5,"Yes",2667,49.81,184.12,41,0,560875.230429386,759032.41487267,148.699884801776
"53","Female","No","No","Yes",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,268.35,"Yes",2227,29.4,364.26,17,0,535658.056126537,720091.249981771,150.303939880733
"54","Male","No","Yes","No",4,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",50.05,179.35,"Yes",3394,9.67,218.03,22,1,556820.803021103,750520.459722862,149.628539482804
"55","Female","No","Yes","No",1,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",55.2,55.2,"Yes",3638,35.6,90.8,58,0,560650.407967473,754343.978333936,149.991231358881
"56","Male","No","No","Yes",1,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",84.6,84.6,"Yes",2484,26.85,111.45,11,1,563554.043778338,762833.77251771,148.630840407983
"57","Male","No","No","No",2,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",54.4,114.1,"Yes",2556,44.31,202.72,73,1,565369.302876321,762943.086521699,149.321869389933
"58","Female","Yes","No","Yes",11,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95,1120.3,"Yes",5980,11.59,1367.79,29,1,560432.395695414,756307.650250036,149.340812420728
"59","Male","Yes","No","No",15,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,1074.3,"Yes",4616,29.11,1510.95,29,1,593892.402151417,811464.513287395,146.042658518867
"60","Male","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.55,48.55,"Yes",5687,11.35,59.9,9,1,596049.934783765,814597.531688542,145.963293604752
"61","Female","No","Yes","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,147.15,"Yes",5687,46.23,239.61,21,0,588871.23219211,801226.081043901,147.213230225869
"62","Male","Yes","Yes","No",1,"No","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",40.2,40.2,"Yes",5828,0,40.2,12,1,590903.249598822,804622.464259595,146.995660165887
"63","Female","No","Yes","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.6,80.55,"Yes",4884,30.19,140.93,16,0,598724.239466664,816216.989099609,146.636639418361
"64","Male","Yes","No","No",3,"No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",41.15,132.2,"Yes",2314,0,132.2,28,1,595396.396390422,810597.920005183,147.013410964032
"65","Male","Yes","No","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.9,1364.3,"Yes",2494,32.68,1799.14,11,2,605799.349708426,825703.862174014,146.642407395719
"66","Male","No","No","No",59,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.35,1099.6,"Yes",5084,26.63,2656.55,0,0,609478.164166765,836725.222924346,144.493752774202
"67","Female","Yes","No","No",16,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.45,1511.2,"Yes",3810,9.43,1662.08,9,1,611061.997038682,840250.618153214,143.946667166161
"68","Male","No","No","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",24.8,24.8,"Yes",5087,0,24.8,29,0,606462.948375568,830698.457375984,145.227261143076
"69","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.6,70.6,"Yes",3338,44.59,115.19,41,0,602616.070315257,825315.181575923,145.296903471116
"70","Male","No","Yes","No",5,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",85.4,401.1,"Yes",3676,42.29,567.18,16,2,588606.44163744,799736.076124327,147.575049046612
"71","Female","No","Yes","No",52,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.05,5624.85,"Yes",4839,10.59,6147.93,48,2,597902.917411621,818867.844179356,145.328137702602
"72","Male","No","Yes","No",18,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",95.15,1779.95,"Yes",4643,1.51,1796.96,28,1,597932.610461142,816620.180834597,146.14121129681
"73","Male","No","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70,70,"Yes",4094,19.15,99.15,18,0,584758.638780703,793168.516114582,148.01625330259
"74","Male","Yes","No","No",8,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,606.55,"Yes",4345,1.78,620.79,7,1,773081.957131419,1057513.15996862,144.423332331517
"75","Male","No","No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.85,435.4,"Yes",4061,49.58,931.2,17,0,773267.797829738,1048906.28344788,146.872380248304
"76","Male","Yes","No","No",24,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.1,1712.7,"Yes",2018,30.87,2453.58,15,0,807562.362493763,1108905.04919924,142.821699470656
"77","Female","No","No","No",1,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",73.6,73.6,"Yes",2565,6.19,79.79,52,1,777456.189355144,1066424.52011871,143.460192872951
"78","Female","Yes","No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,396.1,"Yes",3677,31.61,522.54,2,0,814356.517114089,1119016.03760953,142.495675105358
"79","Male","Yes","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,2303.35,"Yes",4105,47.34,3818.23,10,0,786063.287923573,1079645.35927948,142.912517050975
"80","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.6,415.55,"Yes",5715,5.78,448.01,52,0,766265.418193138,1060455.60954027,139.721699210084
"81","Female","No","Yes","No",38,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",80.3,3058.65,"Yes",2071,42.14,4659.97,19,3,720191.783733991,979129.828059615,146.595452795976
"82","Male","Yes","Yes","No",24,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.15,2231.05,"Yes",2212,16.1,2617.45,12,1,734658.820861309,995984.756265478,147.250641654358
"83","Female","Yes","No","No",54,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",82.45,4350.1,"Yes",4149,12.08,5002.42,5,3,762823.902874457,1037793.70016588,146.135680078307
"84","Female","Yes","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.35,139.05,"Yes",2671,13.17,165.39,10,0,727899.000880793,991934.985160116,145.892476850022
"85","Female","No","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.85,511.25,"Yes",2473,28.62,698.56,26,0,703942.713801597,959303.011823156,146.047452133926
"86","Female","No","No","No",2,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",80.6,155.8,"Yes",2683,5.32,166.44,20,1,702325.879942157,963400.579434681,144.044430070263
"87","Male","No","Yes","No",68,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",75.8,5293.95,"Yes",4903,29.18,7368.19,18,3,722115.202897346,993399.694113901,142.858933900888
"88","Female","No","No","No",43,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",104.6,4759.85,"Yes",5250,12.88,5313.69,59,2,715646.568766938,982743.611806405,143.563756316608
"89","Male","No","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",103.4,6603,"Yes",4352,48.95,9686.85,13,2,746002.111877417,1028875.2133581,141.613339015722
"90","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.4,168.2,"Yes",4157,10.53,189.26,8,0,718985.033847118,985569.011749451,144.147018673985
"91","Male","No","Yes","No",4,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",84.8,371.9,"Yes",4939,28.77,486.98,19,2,758187.678494859,1026095.87421527,147.554389737656
"92","Female","Yes","No","No",21,"No","No","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",41.9,840.1,"Yes",4778,0,840.1,8,1,760607.586719956,1030195.55705792,147.33681778338
"93","Female","No","No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.25,846,"Yes",3598,27.1,1117,11,0,762313.248383473,1033379.07489715,147.108469115676
"94","Male","Yes","Yes","No",27,"No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",30.75,805.1,"Yes",2927,0,945.1,13,1,756765.94257113,1025263.63550417,147.2918197181
"95","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",96.5,492.55,"Yes",5383,20.86,596.85,8,1,758541.834033108,1027967.54556848,147.206555604905
"96","Male","No","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.65,181.5,"Yes",3878,40.43,262.36,27,0,745596.886615943,1010147.25133173,147.354416148592
"97","Female","No","Yes","No",25,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.95,2566.5,"Yes",3642,8.91,2789.25,10,2,739180.840680624,1005100.55173158,146.433022516722
"98","Male","No","No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",50.65,50.65,"Yes",2431,14.78,65.43,59,1,781722.086335839,1058339.56210121,147.321652236225
"99","Male","No","No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.85,90.85,"Yes",3424,8.56,99.41,24,1,718800.152612189,999381.313519042,137.234246890111
"100","Male","Yes","Yes","No",11,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.95,214.75,"Yes",5888,29.54,539.69,0,0,730932.065671143,1014318.40268098,138.518674226173
"101","Female","Yes","Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",85.45,4874.7,"Yes",5502,42.82,7319.8,27,2,709449.209911769,986325.18973583,137.459752814682
"102","Female","No","No","No",34,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.95,2524.45,"Yes",5795,1.55,2577.15,14,1,682191.439416911,948927.367798838,137.5097790416
"103","Male","No","Yes","No",69,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.45,7007.6,"Yes",4020,48.8,10374.8,26,1,860615.690718322,1194204.22160124,136.257668234388
"104","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.9,19.9,"Yes",3351,36.63,56.53,0,0,788435.796026858,1096078.98475217,135.777113604185
"105","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.6,19.6,"Yes",3448,14.17,33.77,0,0,682759.212075531,949040.940633462,138.075191637695
"106","Male","Yes","No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.35,233.7,"Yes",2818,9.22,261.36,14,1,828102.296429798,1142857.46314219,140.467359913002
"107","Female","No","Yes","No",22,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",83.3,1845.9,"Yes",3804,4.01,1934.12,53,1,831017.394756298,1149834.55423326,139.020825999459
"108","Female","Yes","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.3,75.3,"Yes",4902,35.09,130.39,17,1,741047.605391515,1029446.3773211,137.556001754822
"109","Female","No","Yes","No",61,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.4,1182.55,"Yes",4221,46.27,4005.02,0,0,561112.462703668,780197.785109531,139.654482389658
"110","Male","No","No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",45.4,518.9,"Yes",2887,11.12,652.34,14,0,595024.268007197,829218.958800682,137.530293258807
"111","Female","No","No","No",60,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.9,6396.45,"Yes",4105,10.7,7038.45,71,2,611964.079244096,848317.110687926,140.667484258769
"112","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",69.55,69.55,"Yes",2792,29.78,99.33,13,0,586453.051126128,819273.36157641,133.198788443687
"113","Female","No","Yes","No",28,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",81.05,2227.1,"Yes",5201,16.85,2698.9,13,0,647251.779611301,901815.113725956,130.102398935348
"114","Male","No","Yes","No",4,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,385.9,"Yes",4417,9.56,424.14,48,1,614448.379855928,857104.356947864,136.055088594366
"115","Male","No","No","No",7,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.8,673.25,"Yes",2031,47.03,1012.46,2,1,599689.173162605,828189.831758218,142.45378288985
"116","Female","No","Yes","No",13,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",55.95,734.35,"Yes",4498,19.05,982,27,0,581148.637132387,805284.867101887,141.197188402978
"117","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55,55,"Yes",4877,47.22,102.22,53,0,642207.667111728,888792.637461531,141.118286847635
"118","Female","No","Yes","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.7,74.7,"Yes",5980,21.91,96.61,8,1,613977.645011308,848528.153810434,142.026159558037
"119","Male","No","No","No",24,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",80.25,1861.5,"Yes",4418,49.3,3044.7,20,1,629325.116582221,873770.940984334,139.603749502464
"120","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",96.1,453.4,"Yes",4192,31.09,608.85,11,1,555161.34349034,761159.732836216,121.879492267096
"121","Female","No","No","No",15,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",69,994.8,"Yes",5671,4.67,1064.85,28,0,586801.125578796,815473.802339883,139.630651366716
