"","Industry","ESG_Overall","Revenue","MarketCap","GrowthRate","WaterUsage","CarbonEmissions"
"57","Healthcare",57.1,7357.3,33992.8,14.2,447629.5,447629.5
"58","Healthcare",57.6,8220.8,38672.5,11.7,509178.2,509178.2
"59","Healthcare",57.6,9291,53148.3,13,573492.9,573492.9
"60","Healthcare",58.6,11489.1,61972.3,23.7,694213.6,694213.6
"61","Energy",56.8,1283.2,3303.6,-7.5,301275,1004250.2
"62","Energy",57.7,1119,2683.5,-12.8,265961.4,886537.9
"63","Energy",57.7,1219.4,10664.6,9,287085.1,956950.4
"64","Energy",59.8,1249.8,5866.9,2.5,283090.3,943634.4
"65","Utilities",67.9,3932.8,6485.7,-5.4,1495022.5,2392036
"66","Utilities",67.7,4066.6,5952.4,3.4,1552728.5,2484365.5
"67","Utilities",67.4,4012.2,5680.9,-1.3,1499181.9,2398691
"68","Utilities",68.1,4630.8,6876.5,15.4,1727487.8,2763980.6
"69","Energy",73.3,12305.5,398.7,-1.3,2720917.8,9069726.1
"70","Energy",74,11839.6,10385.7,-3.8,2548962.4,8496541.5
"71","Energy",74.9,13785.1,20222.1,16.4,2923774.6,9745915.4
"72","Energy",75.6,14675.7,35497.2,6.5,3037960.2,10126534.1
"73","Technology",54.6,125147.1,182797,2.4,2194346.5,3657244.2
"74","Technology",56.1,143507.8,54146.3,14.7,2461061.1,4101768.5
"75","Technology",55.2,154868.9,146956.3,7.9,2708455.7,4514092.8
"76","Technology",57.1,180810.4,39614.5,16.8,3047324.8,5078874.7
"77","Technology",63.1,6865.1,22596.7,3.9,102976.7,171627.8
"78","Technology",63.4,7487,26405,9.1,112305.3,187175.5
"79","Technology",65,7317.2,50630.3,-2.3,109758.7,182931.2
"80","Technology",65.8,8581.5,31522.2,17.3,128722.4,214537.3
"81","Energy",35.7,1652.2,4510,-10.9,498187.2,1660624.1
"82","Energy",36.6,1721.3,3276.9,4.2,512619.5,1708731.8
"83","Energy",36.8,1229.6,1571.1,-28.6,368129.7,1227098.8
"84","Energy",37,1100.4,3066.5,-10.5,323930.9,1079769.8
"85","Manufacturing",56.1,805.9,1302.9,-1.2,214985.2,161238.9
"86","Manufacturing",59.2,921.1,2070.6,14.3,231917.2,173937.9
"87","Manufacturing",59.5,953.8,1491.6,3.5,238627.7,178970.8
"88","Manufacturing",60.1,1009.7,2210.1,5.9,244445.7,183334.3
"89","Healthcare",58.9,1095.5,3456.7,0.9,88855,88855
"90","Healthcare",60.9,1139.3,6088.1,4,90654,90654
"91","Healthcare",62.3,1080.1,4832.3,-5.2,85439.4,85439.4
"92","Healthcare",64.6,924.5,2909.9,-14.4,71201.3,71201.3
"93","Technology",55.8,15017.5,68451.5,0.8,265825.2,443042
"94","Technology",56.8,15013.1,106974.2,0,261656.4,436094
"95","Technology",56.6,16637.7,145466.8,10.8,290376.9,483961.6
"96","Technology",56.7,16884.5,108912.3,1.5,285043.3,475072.2
"97","Utilities",41.5,554.7,398.6,-5.6,300232.2,480371.6
"98","Utilities",43.6,586.9,374.3,5.8,312312.6,499700.2
"99","Utilities",47.2,530.5,405.4,-9.6,276385.6,442217
"100","Utilities",49.4,522.7,542.4,-1.5,272431.6,435890.6
"101","Healthcare",57.5,9850.7,54189,8.8,553274.8,553274.8
"102","Healthcare",54.6,10042.8,77931.6,2,576773,576773
"103","Healthcare",54.8,10146.9,39609.9,1,573431.6,573431.6
"104","Healthcare",56.3,13120.6,49236.8,29.3,720235.7,720235.7
"105","Healthcare",65.2,3762.3,6109.4,14.8,188115.5,188115.5
"106","Healthcare",64.8,4253.6,10412.8,13.1,212678.3,212678.3
"107","Healthcare",66,5268.2,7977.7,23.9,263408.6,263408.6
"108","Healthcare",67.5,6291.5,12161.5,19.4,314574.8,314574.8
"109","Technology",79.9,4726.3,17000.4,6.2,70893.8,118156.4
"110","Technology",79.6,5340.3,19489.1,13,80104,133506.6
"111","Technology",80.8,6033.6,38765.1,13,90503.5,150839.2
"112","Technology",81.7,6674.2,18520.1,10.6,100112.6,166854.3
"113","Transportation",28.4,742.6,1710.4,-4.8,82696.2,496177.2
"114","Transportation",29.7,738.2,1380,-0.6,81935.7,491614.3
"115","Transportation",30.6,657.6,1168.5,-10.9,72292.7,433756.2
"116","Transportation",28.9,638.4,1648.5,-2.9,71773.3,430640.1
"117","Transportation",30.2,987,1337.9,8.8,111349.6,668097.6
"118","Transportation",32.4,1101.5,304.6,11.6,123779.5,742677.2
"119","Transportation",32.1,1204.6,4785.1,9.4,135057.6,810345.5
"120","Transportation",31.7,1356.5,390.6,12.6,151991.9,911951.2
"121","Transportation",28.6,977.7,1051.4,-9.9,91530.9,549185.1
"122","Transportation",28.5,836.1,423.6,-14.5,78562.2,471373.1
"123","Transportation",28.2,839.3,2015.9,0.4,79528.8,477172.6
"124","Transportation",28.7,836.2,3812,-0.4,79975.4,479852.3
"125","Utilities",55,477,373.5,1.5,265312.5,424499.9
"126","Utilities",54.9,486.3,337.8,2,267335.1,427736.2
"127","Utilities",54.2,520.1,321.1,6.9,285624.8,456999.7
"128","Utilities",55.2,556,451.9,6.9,302369.6,483791.4
"129","Finance",65.6,1264,2147.8,-2.8,8189.8,16379.6
"130","Finance",67.2,1315.8,2546.1,4.1,8226.7,16453.5
"131","Finance",68,1306.6,1176.3,-0.7,8109.5,16219.1
"132","Finance",69.9,1244.4,1480.1,-4.8,7331.2,14662.4
"133","Energy",35.5,12447.2,19585.5,5.1,3032975.6,10109918.6
"134","Energy",35.1,13563,22271.6,9,3257588.2,10858627.3
"135","Energy",35.7,18074.5,45597.9,33.3,4223570,14078566.5
"136","Energy",34.8,21020.8,43800,16.3,4988274.9,16627583
"137","Healthcare",70.7,1375.3,3350.8,1.2,89926.6,89926.6
"138","Healthcare",73,1711.1,4705.1,24.4,110015,110015
"139","Healthcare",75.2,1941.7,3902,13.5,120155.8,120155.8
"140","Healthcare",76.1,2196.1,6455.6,13.1,136826.4,136826.4
"141","Healthcare",76.1,2390.3,10525.3,0.2,221229.5,221229.5
"142","Healthcare",76.5,2744.7,16966.6,14.8,248141.7,248141.7
"143","Healthcare",76.2,2901.3,15900.3,5.7,265049.9,265049.9
"144","Healthcare",76.6,2872.1,11714.4,-1,265870,265870
"145","Energy",76.8,5289.1,7421.2,-23,1304388.3,4347961
"146","Energy",77.3,4941,11406.9,-6.6,1218953.6,4063178.7
"147","Energy",78.1,4776.1,10577.2,-3.3,1183249,3944163.3
"148","Energy",77.3,4183.6,19649.3,-12.4,1024708.6,3415695.4
"149","Energy",40.4,928.4,732.1,6.4,262920.9,876403.1
"150","Energy",42.4,931.9,94.6,0.4,257999.7,859999
"151","Energy",41.2,1025.5,308,10,285495.7,951652.2
"152","Energy",41.3,1039.9,481.9,1.4,287230.2,957434.1
"153","Transportation",51.3,1867.7,1653.1,17.9,188930.1,1133580.4
"154","Transportation",52.6,2118,2731.4,13.4,215358.7,1292152.1
"155","Transportation",54.1,2395.7,2154.6,13.1,243178.8,1459073
"156","Transportation",56.2,2744.5,2414.7,14.6,273538.7,1641232.2
"157","Transportation",56.9,3602.6,7336.3,6,346579.3,2079475.6
"158","Transportation",57.6,3642.3,462.2,1.1,351158.2,2106949.3
"159","Transportation",58,4002.7,2451.8,9.9,388533.6,2331201.9
"160","Transportation",59.6,4126.1,266.1,3.1,387976.9,2327861.1
"161","Energy",59,7691.9,9447.4,1,2087305.5,6957685
"162","Energy",60.5,8198.6,13370.5,6.6,2216752.3,7389174.3
"163","Energy",62.1,7708.9,4826.3,-6,2085418.3,6951394.4
"164","Energy",64.9,6929.7,5147.9,-10.1,1848200.1,6160667
"165","Energy",48.1,1013.3,130.6,0.1,304892.4,1016308.1
"166","Energy",49.7,943.3,1033.7,-6.9,276770.1,922566.9
"167","Energy",48.1,1012.9,5053.6,7.4,295807,986023.5
"168","Energy",48.9,922.7,2524.7,-8.9,263862.4,879541.3
"169","Transportation",43.2,368.8,1341.5,4.7,36145.2,216871.1
"170","Transportation",41.7,396.7,1797.1,7.6,39153.7,234922.1
"171","Transportation",43.3,394.9,1393.5,-0.5,38415.7,230494.1
"172","Transportation",44.3,423.4,898.5,7.2,41605,249629.8
"173","Healthcare",57.6,10424.8,38133.9,-3.1,966874.7,966874.7
"174","Healthcare",59.2,11297.2,54234.6,8.4,1051475,1051475
"175","Healthcare",59.6,11686.3,79382.4,3.4,1073497.2,1073497.2
"176","Healthcare",61.2,11371.6,78853.3,-2.7,1013756.1,1013756.1
"177","Retail",47.5,599.2,531.6,-6.3,21939.9,43879.7
"178","Retail",47,641.5,2688,7.1,23264.4,46528.8
"179","Retail",47.7,696,3160.5,8.5,25752.1,51504.2
"180","Retail",47.7,662.3,88.7,-4.9,24903.4,49806.9
"181","Healthcare",55.1,10076.9,22920.5,-1,653561.1,653561.1
"182","Healthcare",55.3,11519.7,32876,14.3,700986.8,700986.8
"183","Healthcare",55.6,11810.9,43341.7,2.5,714254.5,714254.5
"184","Healthcare",55.4,12120.4,41685.9,2.6,704494.8,704494.8
"185","Consumer Goods",62,260.1,516.8,1.6,41414.5,33131.6
"186","Consumer Goods",63,284,1399.4,9.2,44069.5,35255.6
"187","Consumer Goods",62.9,305.5,1154.8,7.6,47274,37819.2
"188","Consumer Goods",65.1,296.1,221.9,-3.1,44102.6,35282.1
"189","Technology",51.7,3510.1,24999.7,7.9,57893.8,96489.7
"190","Technology",52.1,4266.2,28913.2,21.5,67985.3,113308.9
"191","Technology",51.6,4449.2,25207.7,4.3,73419.5,122365.8
"192","Technology",52.2,4740.9,17230.4,6.6,79046.2,131743.7
"193","Retail",19.3,500.7,1224.8,9.6,27630.7,55261.4
"194","Retail",19.9,545.2,1039.7,8.9,30275.1,60550.2
"195","Retail",19.1,588.2,704.2,7.9,32312.9,64625.8
"196","Retail",18.7,656.1,704.2,11.5,36518.2,73036.5
"197","Consumer Goods",67.2,1786.5,7860.8,25.1,304646.1,243716.9
"198","Consumer Goods",68.9,1966.1,10843.2,10.1,325380.2,260304.1
"199","Consumer Goods",68.8,2042.9,9095.7,3.9,333982.2,267185.8
"200","Consumer Goods",69.3,2316.1,10905.2,13.4,380507.9,304406.3
"201","Transportation",50.4,246.4,67.7,12.6,15745.1,94470.5
"202","Transportation",49.9,262.8,7.1,6.6,16887.2,101323.1
"203","Transportation",49,277,608.4,5.4,18414.1,110484.6
"204","Transportation",48.8,299,370.6,7.9,20158,120948.1
"205","Consumer Goods",67.1,1812.1,3233,1.4,398753.2,319002.6
"206","Consumer Goods",67.8,2090.4,4826.8,15.4,463539.7,370831.8
"207","Consumer Goods",68.5,2348.4,4463.9,12.3,517838.2,414270.6
"208","Consumer Goods",67.4,2495.3,7005.2,6.3,551148.5,440918.8
"209","Utilities",74.4,728.6,846.4,-8.3,355068.2,568109.1
"210","Utilities",72.7,681.8,656.8,-6.4,330285.3,528456.4
"211","Utilities",71.9,677.9,697.6,-0.6,327685.7,524297.2
"212","Utilities",72.7,656.7,730.7,-3.1,312990.3,500784.5
"213","Healthcare",67.2,8946.8,38048.8,24,879501.2,879501.2
"214","Healthcare",67.4,10734.2,39066.1,20,1041034.6,1041034.6
"215","Healthcare",67,11283.7,37001.2,5.1,1073475.8,1073475.8
"216","Healthcare",69.5,13316.3,52639.8,18,1212958.1,1212958.1
"217","Finance",75.7,709.4,757.6,5.2,3573.4,7146.8
"218","Finance",77.7,655.8,827.2,-7.5,3279,6558.1
"219","Finance",77.5,600.6,995.7,-8.4,3003.2,6006.4
"220","Finance",77.9,625.3,882.9,4.1,3126.7,6253.4
"221","Utilities",60.6,673.7,921.1,-1.2,343109.6,548975.4
"222","Utilities",58.7,694,1093.3,3,349222.4,558755.9
"223","Utilities",57.4,710.2,1012.6,2.3,358692.7,573908.3
"224","Utilities",57.9,774,1141.1,9,386458,618332.8
"225","Utilities",30,975.2,514.7,3,450409,720654.4
"226","Utilities",32.7,1123.9,4269.9,15.2,499497.6,799196.1
"227","Utilities",34.9,1084.2,1650.9,-3.5,478372,765395.2
"228","Utilities",35.7,1102.7,3585,1.7,472764.4,756423
"229","Transportation",41.9,652.9,609.2,4.2,68194.7,409167.9
"230","Transportation",41.8,711,55,8.9,74508.3,447049.9
"231","Transportation",42.8,739.7,1102.5,4,76437.9,458627.6
"232","Transportation",42.7,742.1,93.4,0.3,76992.2,461953.1
"233","Utilities",36.5,761.4,1277.7,2.4,373175.3,597080.6
"234","Utilities",36.5,706.8,1195,-7.2,341987,547179.3
"235","Utilities",37.2,650.2,826.2,-8,310307.7,496492.3
"236","Utilities",38.6,657.1,1238.7,1.1,309377.5,495004.1
"237","Manufacturing",30.7,1153.7,1524.1,10.4,388822.3,291616.7
"238","Manufacturing",30.8,1169.2,2207.8,1.3,390111.5,292583.6
"239","Manufacturing",33.3,1211.5,953.1,3.6,393035.8,294776.9
"240","Manufacturing",34.5,1335.2,1320.5,10.2,439391.7,329543.8
"241","Consumer Goods",82.7,2636.7,2945.2,5.5,384215.7,307372.5
"242","Consumer Goods",83.6,2760.8,1921.5,4.7,390489.8,312391.8
"243","Consumer Goods",82.7,2937.6,1006.9,6.4,415438.8,332351
"244","Consumer Goods",81.8,3061.3,222,4.2,430011.1,344008.9
"245","Technology",60.8,7338.6,44249,18,124066.3,206777.2
"246","Technology",60.9,8306.3,41673.3,13.2,144589.7,240982.8
"247","Technology",62.1,9208.2,57946.1,10.9,154835.8,258059.6
"248","Technology",60.6,10231.1,79270.5,11.1,171562.7,285937.9
"249","Consumer Goods",70.4,1157.7,5624.9,2,241485.5,193188.4
"250","Consumer Goods",72,1239.1,4651.3,7,249063.2,199250.6
"251","Consumer Goods",72.8,1262.4,6659.4,1.9,249410.2,199528.2
"252","Consumer Goods",72.9,1282.8,5652.2,1.6,246230.5,196984.4
"253","Consumer Goods",42.2,1736.7,1592.7,-1.2,376928.8,301543
"254","Consumer Goods",44.3,1883.8,1728.6,8.5,404282.7,323426.1
"255","Consumer Goods",44.9,2018.6,1390.8,7.2,424964.6,339971.7
"256","Consumer Goods",45.9,2299.3,1570,13.9,475617.8,380494.3
"257","Transportation",68.3,824,1095.9,-5.1,77947.1,467682.3
"258","Transportation",68.5,831.9,2901.7,1,78187.3,469123.6
"259","Transportation",70.5,803.7,3361.5,-3.4,72302.7,433816
"260","Transportation",68.9,814.4,1099.8,1.3,73805.1,442830.5
"261","Consumer Goods",61.5,1843,7673.1,6.7,254864.8,203891.9
"262","Consumer Goods",61.1,1942.5,4973.3,5.4,269265.4,215412.3
"263","Consumer Goods",63,1994.4,5636.5,2.7,272599.7,218079.8
"264","Consumer Goods",65.3,1995.3,7197.9,0,263687.9,210950.3
"265","Manufacturing",53,460.6,436.1,-10.2,163601.4,122701.1
"266","Manufacturing",54.5,471.2,799.9,2.3,168873.3,126655
"267","Manufacturing",55.1,480.9,659.5,2.1,171071.6,128303.7
"268","Manufacturing",56.6,462.2,324.8,-3.9,160291.8,120218.8
"269","Manufacturing",59.2,4684.4,12332.7,9.9,1618968.2,1214226.1
"270","Manufacturing",59.4,5804.1,23967.1,23.9,2012036.8,1509027.6
"271","Manufacturing",60,5807.9,21197.6,0.1,1970148.8,1477611.6
"272","Manufacturing",60.6,6162.4,31706.9,6.1,2079609.4,1559707.1
"273","Energy",47.3,8509.7,19982.8,7.6,2796312,9321039.9
"274","Energy",50.4,9383.6,41719.8,10.3,3037888.8,10126296
"275","Energy",52.2,10374.9,41053.2,10.6,3276166.2,10920554.1
"276","Energy",52.7,10995.3,44934.3,6,3463489.5,11544965.1
"277","Retail",45.8,2138.4,1007.7,17.1,91643.5,183287.1
"278","Retail",46.4,2218.5,1325.4,3.7,94855,189710
"279","Retail",47.5,2277.8,2041.4,2.7,96070,192139.9
"280","Retail",49.7,2379.3,328.7,4.5,96128.7,192257.5
"281","Consumer Goods",45.4,3212.1,4839.2,-2.4,608102.6,486482.1
"282","Consumer Goods",44.3,3734.5,4668.4,16.3,723050.8,578440.7
"283","Consumer Goods",43.3,4047.6,5604.6,8.4,763278.6,610622.9
"284","Consumer Goods",46.1,4797.4,6447,18.5,888972.6,711178
"285","Utilities",44.2,604.5,670.6,1.5,272998.7,436797.9
"286","Utilities",43.4,603.7,672.3,-0.1,274514.7,439223.5
"287","Utilities",44.7,646.1,772.7,7,289508.2,463213.1
"288","Utilities",45,705,714.5,9.1,311762.1,498819.4
"289","Transportation",55.1,1435.5,2703,16.7,147525.3,885151.8
"290","Transportation",56.3,1796.1,1482.2,25.1,184639.4,1107836.6
"291","Transportation",57.4,1761.1,943,-1.9,180180.5,1081083.1
"292","Transportation",58.4,2043.7,430.2,16.1,208685.9,1252115.2
"293","Energy",71.7,2411.5,9399.6,1.2,754958.6,2516528.6
"294","Energy",72.8,2678.4,453.7,11.1,825707.7,2752358.9
"295","Energy",71.7,3009.2,2490.4,12.4,929170.6,3097235.2
"296","Energy",72.9,3541.1,995.1,17.7,1070264.1,3567546.9
"297","Technology",72.4,3627,13481.3,10.5,71619,119365
"298","Technology",72.9,4008.9,26787.1,10.5,79541.9,132569.8
"299","Technology",74.8,4596.4,27413.8,14.7,88727.5,147879.1
"300","Technology",75.7,5019.2,22242.3,9.2,95351.2,158918.7
"301","Technology",65.4,14632.2,120517.5,3.5,255728.4,426213.9
"302","Technology",67.3,15485,82680.8,5.8,265306.7,442177.9
"303","Technology",68.5,19125.8,143103,23.5,314198.1,523663.6
"304","Technology",69.3,22155.4,248688,15.8,366931.6,611552.6
"305","Utilities",68.6,463.6,108.4,0.8,142978.9,228766.3
"306","Utilities",69.2,402.9,139.6,-13.1,119658.2,191453.1
"307","Utilities",70,430.2,108.6,6.8,124954.8,199927.7
"308","Utilities",71.2,422.1,134.8,-1.9,122025,195240
"309","Technology",48.1,6543.6,14592.3,-9.7,130679.7,217799.5
"310","Technology",48.8,7855.9,18804.1,20.1,154633,257721.7
"311","Technology",48.7,7885.3,14345.5,0.4,160791.5,267985.9
"312","Technology",50.7,6942.5,17699.7,-12,139957.3,233262.2
"313","Healthcare",65,9571.5,55997.4,0.9,624490.4,624490.4
"314","Healthcare",65.3,9149.2,50032.6,-4.4,576623.3,576623.3
"315","Healthcare",64.8,10460.7,61018.1,14.3,654356,654356
"316","Healthcare",66.1,10727.6,61574.7,2.6,637674.3,637674.3
"317","Utilities",71.1,1232.7,368.4,4.8,561619,898590.4
"318","Utilities",69.3,1390.1,482.9,12.8,638799.9,1022079.8
"319","Utilities",69.2,1445.1,525.8,4,656452.9,1050324.6
"320","Utilities",67.9,1519,477.5,5.1,691931.8,1107090.9
"321","Healthcare",84.2,5916.6,5263.3,10.9,352046.6,352046.6
"322","Healthcare",84.8,6105.8,6299.8,3.2,351004.2,351004.2
"323","Healthcare",85.5,5619.8,9082.2,-8,314095.4,314095.4
"324","Healthcare",83.5,5215.9,4968.9,-7.2,298352.1,298352.1
"325","Technology",68.9,5615.6,50158.5,15.4,84234.7,140391.2
"326","Technology",70.3,5740.8,51747.1,2.2,86921.2,144868.6
"327","Technology",70.6,6029.2,63287.9,5,93842.3,156403.8
"328","Technology",72.3,6096.2,43066.8,1.1,97026.6,161711
"329","Healthcare",61.5,3815.3,3533.8,7.5,294774.3,294774.3
"330","Healthcare",61.9,3686.4,3502.8,-3.4,282126.5,282126.5
"331","Healthcare",64.7,3880.7,4141.9,5.3,287068.8,287068.8
"332","Healthcare",64.8,3696.9,3804.9,-4.7,266406.5,266406.5
"333","Consumer Goods",15.2,3018.3,6265.3,-9.5,707725,566180
"334","Consumer Goods",15.5,3258.5,7645.1,8,763627.3,610901.9
"335","Consumer Goods",16.2,3753.4,6335.6,15.2,873922.7,699138.2
"336","Consumer Goods",18.1,4337.2,2769.7,15.6,1009192,807353.6
"337","Manufacturing",61.2,1960.6,1562.6,-1.6,647832.3,485874.2
"338","Manufacturing",62.3,2104.6,1399.3,7.3,677538,508153.5
"339","Manufacturing",64.1,2181.7,1038.9,3.7,699200.7,524400.5
"340","Manufacturing",64.5,2382,4128.1,9.2,747650.3,560737.7
"341","Finance",48.6,3848.7,7705,23.2,19243.3,38486.5
"342","Finance",50.3,3339.7,4066.8,-13.2,16698.3,33396.6
"343","Finance",49.2,3270.2,5383.4,-2.1,16949.7,33899.4
"344","Finance",51.2,3293.6,3056.2,0.7,17052.9,34105.7
"345","Technology",77.2,58606.6,263367.8,6.4,879098.6,1465164.4
"346","Technology",77.8,50938.2,131534.7,-13.1,782032.7,1303387.9
"347","Technology",76.2,54017.5,248985.2,6,861062.6,1435104.3
"348","Technology",75.6,58549.7,155521.9,8.4,943096.5,1571827.5
"349","Manufacturing",79.3,1242.6,922.8,0.8,329805.4,247354
"350","Manufacturing",79.1,1289,594.8,3.7,332055.7,249041.8
"351","Manufacturing",81.4,1535.7,468.5,19.1,379638.4,284728.8
"352","Manufacturing",82.8,1624.2,89.4,5.8,389302.8,291977.1
"353","Utilities",36.7,1795.1,2195,14.3,852722.3,1364355.6
"354","Utilities",35.9,1553.7,2238.3,-13.4,732595.1,1172152.1
"355","Utilities",36.4,1471.5,1945.1,-5.3,706533.5,1130453.6
"356","Utilities",36.9,1668.6,2873,13.4,788362.5,1261380
"357","Energy",30,6385.3,21545.5,3.9,2020332.1,6734440.2
"358","Energy",29,7185.8,4773.1,12.5,2254911.5,7516371.8
"359","Energy",29.1,7212.4,1743.4,0.4,2245387.5,7484625.1
"360","Energy",30.5,6572.5,3945,-8.9,2038480.9,6794936.2
"361","Manufacturing",65.9,3356.1,13292,-0.7,1099622.2,824716.7
"362","Manufacturing",65.2,3120,20745.8,-7,1035695.4,776771.6
"363","Manufacturing",64.3,2929,12112.7,-6.1,985052.1,738789.1
"364","Manufacturing",65.4,2792,7690.1,-4.7,936772,702579
"365","Healthcare",35.6,3108.8,14990.6,-9.2,249608.4,249608.4
"366","Healthcare",37.2,2553.3,14782.7,-17.9,200160.1,200160.1
"367","Healthcare",36.5,2659.1,6961.7,4.1,206333.2,206333.2
"368","Healthcare",35.4,2801.1,12657.6,5.3,220455,220455
"369","Retail",62.1,545.7,709.7,-8.1,14435.1,28870.2
"370","Retail",64.4,516.7,1065.2,-5.3,13122.1,26244.1
"371","Retail",65.6,468.8,491.2,-9.3,11721.1,23442.1
"372","Retail",66.7,502.4,418.4,7.1,12599.6,25199.2
"373","Utilities",53.7,359.3,232.9,8.6,161084.3,257734.9
"374","Utilities",56.4,314.5,181.2,-12.5,137384.2,219814.7
"375","Utilities",57.8,302,217.3,-4,132143.7,211429.9
"376","Utilities",57.8,275.3,159.5,-8.8,119957.7,191932.3
"377","Retail",73.2,1265.3,3168,5,46305.7,92611.4
"378","Retail",72.4,1296.1,3545.1,2.4,48030.7,96061.3
"379","Retail",72.1,1310.8,3816.5,1.1,49015,98030
"380","Retail",71.1,1350.4,3276.8,3,52184.1,104368.2
"381","Manufacturing",76.9,2011.1,107.4,12.7,482727.3,362045.5
"382","Manufacturing",76.8,2151.1,9512,7,499716.4,374787.3
"383","Manufacturing",75,2005.8,6096.3,-6.8,481353,361014.8
"384","Manufacturing",76.4,2353.3,8796.6,17.3,541716.4,406287.3
"385","Consumer Goods",33.4,1982.3,2581.8,15.4,393338.9,314671.1
"386","Consumer Goods",35.5,2233.1,3883.8,12.7,419601,335680.8
"387","Consumer Goods",36.4,2299.9,6873,3,432760.1,346208.1
"388","Consumer Goods",38.4,2594.3,5216.3,12.8,484425,387540
"389","Energy",44.8,15491.2,10192.5,12.1,5096032.3,16986774.2
"390","Energy",46.6,17635.2,14530.8,13.8,5582628.2,18608760.8
"391","Energy",47.3,20599.5,23344.7,16.8,6490505.7,21635018.9
"392","Energy",47.5,22508.4,27431.6,9.3,7123560.7,23745202.4
"393","Healthcare",59.2,8201.5,4810.6,11.7,775835.9,775835.9
"394","Healthcare",60.5,9415.2,7575.4,14.8,888858.9,888858.9
